provinsi;kode_provinsi;tahun;luas panen (ha);produktivitas (ku/ha);produksi (ton);jumlah penduduk ;luas provinsi (ha);produksi beras (ton);proyeksi konsumsi rumah tangga(ton);surplus/ defisit(ton);surplus/ defisit(%)*;harga beras(Rp);suhu;curah hujan (mm);penyinaran matahari (%);;
GORONTALO;75;2020;48.686;46.75;227.627;1.171.700;1.125.707;126.444;103.623;22.821;22,02;10.540;27,80;121,45;;;
GORONTALO;75;2021;48.714;48.12;234.393;1.181.000;1.125.707;130.876;105.860;25.016;23,63;11.320;27,10;235,96;;;
GORONTALO;75;2022;46.823;51.29;240.135;1.192.700;1.202.515;139.430;115.729;23.701;20,48;12.292;26,92;199,55;;;
JAMBI;15;2018;86.203;44.44;383.046;3.527.100;5.005.816;287.756;301.135;-13.379;-4,44;10.900;26,80;196,27;;;
JAMBI;15;2019;69.536;44.57;309.933;3.566.200;5.005.816;178.364;275.596;-97.232;-35,28;10.820;27,11;;;;
JAMBI;15;2020;84.773;45.58;386.413;3.548.200;5.016.005;222.379;273.781;-51.402;-18,77;10.980;27,26;;;;
JAMBI;15;2021;64.412;46.29;298.149;3.585.100;5.005.816;172.472;283.081;-110.609;-39,07;9.000;27,20;;;;
JAMBI;15;2022;60.540;45.88;277.744;3.631.100;4.902.658;159.702;309.471;-149.769;-48,40;10.750;27,10;;;;
JAWA BARAT;32;2018;1.707.254;56.51;9.647.359;48.474.500;3.537.776;5.549.571;5.014.910;534.661;10,66;10.940;23,61;182,42;;;
JAWA BARAT;32;2019;1.578.836;57.54;9.084.957;49.023.200;3.537.776;5.219.374;3.794.396;1.424.978;37,55;10.350;25,65;169,08;;;
JAWA BARAT;32;2020;1.586.889;56.82;9.016.773;48.274.200;3.537.776;5.180.202;3.794.349;1.385.853;36,52;10.300;24,85;;;;
JAWA BARAT;32;2021;1.604.109;56.81;9.113.573;48.782.400;3.537.776;5.262.925;3.998.206;1.264.719;31,63;10.456;24,55;;;;
JAWA BARAT;32;2022;1.662.404;56.75;9.433.723;49.405.800;3.704.486;5.447.806;4.370.930;1.076.876;24,64;10.740;26,15;192,67;;;
JAWA TENGAH;33;2018;1.821.983;57.63;10.499.588;34.358.500;3.280.069;6.006.781;3.017.990;2.988.791;99,03;11.020;27,50;171,65;;;
JAWA TENGAH;33;2019;1.678.479;57.53;9.655.654;34.552.500;3.280.069;5.523.969;2.284.611;3.239.358;141,79;10.180;29,29;106,08;;;
JAWA TENGAH;33;2020;1.666.931;56.93;9.489.165;36.516.000;3.280.069;5.428.721;2.458.259;2.970.462;120,84;10.290;28,83;301,00;;;
JAWA TENGAH;33;2021;1.696.712;56.69;9.618.657;36.742.500;3.280.069;5.531.297;2.636.642;2.894.655;109,79;11.310;26,65;206,58;;;
JAWA TENGAH;33;2022;1.688.670;55.41;9.356.445;37.032.400;3.433.454;5.380.507;2.882.437;2.498.070;86,67;10.820;27,70;;;;
JAWA TIMUR;35;2018;1.751.192;58.26;10.203.213;39.521.900;4.779.975;4.301.639;3.620.425;681.214;18,82;11.090;28,00;182,48;;;
JAWA TIMUR;35;2019;1.702.426;56.28;9.580.934;39.744.800;4.780.349;5.503.726;2.899.781;2.603.945;89,80;10.210;28,00;;;;
JAWA TIMUR;35;2020;1.754.380;56.68;9.944.538;40.665.700;4.780.349;5.712.597;2.947.450;2.765.147;93,81;10.320;28,20;;;;
JAWA TIMUR;35;2021;1.747.481;56.02;9.789.588;40.878.800;4.780.349;5.652.705;3.149.302;2.503.403;79,49;10.090;27,10;;;;
JAWA TIMUR;35;2022;1.693.211;56.26;9.526.516;41.150.000;4.780.349;5.500.802;3.442.889;2.057.913;59,77;10.800;27,30;;;;
KALIMANTAN BARAT;61;2018;286.476;27.92;799.715;4.985.100;14.730.700;470.668;451.785;18.883;4,18;12.130;27,17;317,83;;;
KALIMANTAN BARAT;61;2019;290.048;29.23;847.875;5.045.700;14.730.700;499.012;412.335;86.677;21,02;12.520;27,28;301,34;;;
KALIMANTAN BARAT;61;2020;256.575;30.33;778.170;5.414.400;14.730.700;457.987;446.362;11.625;2,60;12.500;27,16;283,08;;;
KALIMANTAN BARAT;61;2021;223.166;31.90;711.898;5.470.800;14.730.700;421.153;471.364;-50.211;-10,65;9.620;27,50;273,67;;;
KALIMANTAN BARAT;61;2022;241.479;30.28;731.226;5.541.400;14.703.704;432.587;515.306;-82.719;-16,05;11.250;27,24;;;;
KALIMANTAN SELATAN;63;2018;323.091;41.09;1.327.492;4.162.400;3.874.423;668.984;388.785;280.199;72,07;12.790;26,20;;;;
KALIMANTAN SELATAN;63;2019;356.246;37.69;1.342.862;4.216.300;3.874.423;790.448;323.306;467.142;144,49;11.940;26,60;;;;
KALIMANTAN SELATAN;63;2020;289.836;39.69;1.150.307;4.073.600;3.874.423;677.105;310.896;366.209;117,79;11.950;26,30;;;;
